Text,URL,First_P_Tag_Content
Talking Smart Glass for the Blind,https://www.hackster.io/B45i/talking-smart-glass-for-the-blind-87d31e,
Irazu a sip-and-puff joystick,https://www.hackster.io/olman/irazu-a-sip-and-puff-joystick-573f88,"""Irazu"" is an affordable, sustainable, and user-friendly assistive technology device designed to aid people with disabilities, particularly those with quadriplegia or similar conditions, in accessing and controlling their computers. It enables users to move the mouse cursor using head or lip movements and perform cursor clicks through breath control (sip and puff)."
Untitled,https://www.hackster.io/hansrajbissessur/untitled-5d85d9,
Elder Walking Aid,https://www.hackster.io/daveware/elder-walking-aid-d5029d,"An elder person with dementia, progressively loose their capacity to keep exercised by walking. They loose sight, memory, but walking capacity is almost intact. I will try to keep this capacity as long as possible with long walking sessions. The aid will have also a rest mode, and a possible chamber pot for emergencies. I know all these, because  my own mother is already sick with this illness, and I must be forced to care her in the name of the love I have for my mother."
Swimming assistant for people with visual impairments,https://www.hackster.io/mrmolex/swimming-assistant-for-people-with-visual-impairments-9e0d01,
BeyondBound Adventures,https://www.hackster.io/esandi20221527/beyondbound-adventures-81cabe,What is your project about?
Untitled,https://www.hackster.io/narendran2/untitled-9db8d2,
Robust Big Piezo Button,https://www.hackster.io/AlainsProjects/robust-big-piezo-button-7a6b89,
IPEC ESP32 ATM90E32 IoT Power Energy Controller and Monitor,https://www.hackster.io/DitroniX/ipec-esp32-atm90e32-iot-power-energy-controller-and-monitor-3980d2,"Following in the successful footsteps of my IPEM board, a variation of this board has been produced, called IPEC (IoT Power Energy Controller and Monitor SDK)"
Smart Travel Crane,https://www.hackster.io/509122/smart-travel-crane-c249c6,
Helmet that help in Social Distancing.,https://www.hackster.io/2013lucasrodrigues/helmet-that-help-in-social-distancing-12071e,"The project about social distancing to reduce the spread of coronavirus disease 2019 or Covid-19. The goal is a turn on buzzer to indicate a minimum distance between two people and to alert if the distance for break up.  This project use a PIR sensor, arduino uno, buzzer, battery 9V and ultrasonic sensor. When  the distance between the people that use a  helmet and another people is less than 1.5 meters buzzer will turn on. While distance less than 1.5 and PIR sensor High the buzzer is active."
Digital MASK,https://www.hackster.io/2013lucasrodrigues/digital-mask-e65b15,
Respirator with Air Flow Artificial System,https://www.hackster.io/2013lucasrodrigues/respirator-with-air-flow-artificial-system-65c909,
Home automation by internet and palms,https://www.hackster.io/2013lucasrodrigues/home-automation-by-internet-and-palms-5ff921,
Contol lamp into the water with palms,https://www.hackster.io/2013lucasrodrigues/contol-lamp-into-the-water-with-palms-02b9a7,"Control to  a Tesla Coil with palms because it´s innovation turn on and off light no cable and into the water. The people were surprised. I used arduino uno and relay shield, sound sensor, source de 32V e Coil with TIP 31  transistor. The arduino to turn on pin and closed relay, turn on Coil. "
Automatic Home Oficce,https://www.hackster.io/2013lucasrodrigues/automatic-home-oficce-738f43,"My project is about automatic home office because the people in around world must stay home. My project is very simple using a shield relay, sound sensor e arduino uno, but very useful with three palms turn on humidifier and two palms turn on fan."
Low cost Outdoor Air Quality Monitoring System,https://www.hackster.io/mafzal/low-cost-outdoor-air-quality-monitoring-system-3fbc77,Air Quality is the biggest issue of current century and it's growing day by day due to rapid growth of industries specially under developed countries are facing very negative impact on human beings as well as on other living organisms due to air pollution. To combat with pollution firstly we need a system to measure the pollution so that all the stake holders of the system take mandatory measurements to protect the environment. There are many devices in the market for air quality monitoring but expensive to sort out the issue I have developed a device with low cost open source controllers and sensors to carry out that project with free cloud services.
IoT based health monitoring system | Arduino Project,https://www.hackster.io/rajeshjiet/iot-based-health-monitoring-system-arduino-project-69056f,"IoT based patient health monitoring system is a generic term given to any medical equipment that has internet capability and can measure one or more health data of a patient who is connected to the device such as heartbeat, body temperature, blood pressure, ECG, steps etc. The equipment can record, transmit and alert if there is any abrupt change in the patient’s health."
Sign Glove,https://www.hackster.io/rushilsaraswat/sign-glove-add90e,
microcade: Build-your-own Arcade Machine,https://www.hackster.io/jackdaly897/microcade-build-your-own-arcade-machine-e0aa93,
DIY 433MHz 4-Channels Wireless Switcher Circuit (Arduino),https://www.hackster.io/hesam-moshiri/diy-433mhz-4-channels-wireless-switcher-circuit-arduino-a742b8,
Wireless Home Automation (Control and Monitoring),https://www.hackster.io/hesam-moshiri/wireless-home-automation-control-and-monitoring-ea1160,"Nowadays home automation is a trending topic among electronic  enthusiasts and even the mass population. People are busy with their  life challenges, so an electronic device should take care of the home  instead! The majority of such devices need internet or Wi-Fi for  connectivity or they don’t offer a user-friendly GUI, but I decided to  design a standalone wireless monitoring/controlling unit that can be  adjusted using a graphical and touch-controlled LCD display."
Powerful Digital AC Dimmer Using STM32,https://www.hackster.io/hesam-moshiri/powerful-digital-ac-dimmer-using-stm32-7f6b45,
Stereo Digital FM Transmitter Circuit (Arduino Code),https://www.hackster.io/hesam-moshiri/stereo-digital-fm-transmitter-circuit-arduino-code-2dbd8d,
ESP8266 Smart Home Water Level Monitoring,https://www.hackster.io/Sketchwork/esp8266-smart-home-water-level-monitoring-5447a5,
ESP32 GPS Tracking Device | Waterproof,https://www.hackster.io/Sketchwork/esp32-gps-tracking-device-waterproof-fabc2b,
Enclosure design Smart Home using ESP32 Project,https://www.hackster.io/Sketchwork/enclosure-design-smart-home-using-esp32-project-f36486,
Raspberry pi Zero Hardware crypto wallet Enclosure design,https://www.hackster.io/Sketchwork/raspberry-pi-zero-hardware-crypto-wallet-enclosure-design-197171,
PECS Communication Board,https://www.hackster.io/AlainsProjects/pecs-communication-board-d91e82,"The Picture Exchange Communication System, or PECS, allows people with little or no communication abilities to communicate using pictures. People using PECS are taught to approach another person and give them a picture of a desired item in exchange for that item. By doing so, the person is able to initiate communication. A child or adult with autism can use PECS to communicate a request, a thought, or anything that can reasonably be displayed or symbolized on a picture card.I know you can buy such boards, but they are not cheap or flexible enough. You could also use a tablet, but Scott has already smashed 2 smartphones and my tablet. This one is sturdy, cheap and has a lot of options. So you can also just make several."
How to setup File Storage Server,https://www.hackster.io/iamsrajj/how-to-setup-file-storage-server-8d4001,
Empower the Visually Impaired with a Smart Blind Stick!,https://www.hackster.io/mohd08sohail/empower-the-visually-impaired-with-a-smart-blind-stick-3c4b95,If you want to see the video  :
HueFidget Fob - a LED Fidget Keychain,https://www.hackster.io/Vishalsoniindia/huefidget-fob-a-led-fidget-keychain-f04c88,
Auto 3-Axis Wheelchair Base Balance and Adjustment,https://www.hackster.io/nikilthapa/auto-3-axis-wheelchair-base-balance-and-adjustment-0f47ab,"Here, the 3-AXIS  auto wheelchair base balance and adjustment project has been presented. Its main objective that it always makes the sitting position steady and upright no matter what road surfaces and conditions are. The main focus is to make travel comfortable, confident and prevent any accident due to wheelchair fall down when he/she (mobility impairment person) goes along the uneven roads or terrain."
GameInclusive: Accessible Game Design Guidelines Initiative,https://www.hackster.io/esandi20221527/gameinclusive-accessible-game-design-guidelines-initiative-eda79a,What is my project about?
World describer,https://www.hackster.io/pablojr/world-describer-7d4083,What is the world around you like when you are blind? How difficult is to know what objects are within reach of your hands? Are there any pointed or sharp ones? Is there any flower? Is the cup of coffee steaming still?
Battleship. Interactive game using Amazon Alexa and LEGO EV3,https://www.hackster.io/jcoronelcortes/battleship-interactive-game-using-amazon-alexa-and-lego-ev3-8ac604,
Raspberry Pi Impact Force Monitor,https://www.hackster.io/jenfoxbot/raspberry-pi-impact-force-monitor-ca122c,
Untitled,https://www.hackster.io/viruthshaan30/untitled-c34208,
SwimBuoy,https://www.hackster.io/shashanklakshman/swimbuoy-7abf44,
Hive IA control of Honey Bee for person with disability,https://www.hackster.io/davide-cogliati/hive-ia-control-of-honey-bee-for-person-with-disability-0ab4dc,"My work is very technical, developing prototypes on request by costumers and working out all the board components and the development. This is something I like to do with passion. My main hobby is agriculture and honey bees growing all played as a second work with a lot of passion and willing. My hobby requires full movement capability because bee hives should be inspected periodically to recognize if some kind of problem is facing up. Why not to make this amazing activity accessible to people with disability that can't be free to work phisycally on the hives as I can. I think could be wonderful to make accessible an important part of this activity to everybody, makes you feel satisfied of what you are doing, you can do it! So I imagined after several days and weeks of observation that hearing to sound coming from a Hive can give many information on state of health, strenght, working willness of the bees. To do this some hardware is necessary, the best is to develop something low cost yet wotking well. This is not sufficient to do this development, more,  is necessary an appropriate software playing some specified rules that can help you to understand the data (sound) coming from a hive. I spent lot of time to think about these rules and what I developed yet being quite easy seems to work well  against what I can observe in the hive. Hoping this work can be useful to whom  has phisycal limitation but a high grade of willness to start their own activity with honey bees, and this can become a real work for them. No limits to your passion. "
Gelāre: Depth-sensing & EdgeImpulse powered Assistive-Robots,https://www.hackster.io/503542/gelare-depth-sensing-edgeimpulse-powered-assistive-robots-491700,
Untitled,https://www.hackster.io/alibert/untitled-2c48e0,
Voice Enabled Shishi Odoshi Fountain,https://www.hackster.io/Forward16/voice-enabled-shishi-odoshi-fountain-c4b54b,
Urban Farming Overseer,https://www.hackster.io/gawain2/urban-farming-overseer-eb0fd4,EEP T2 Team 4
Swim'Safe: An Underwater Drown Detection Beacon for Disabled,https://www.hackster.io/PSoC_Rocks/swim-safe-an-underwater-drown-detection-beacon-for-disabled-0ec0d3,
Bee Integration into Commercial Urban Farms,https://www.hackster.io/jschong117/bee-integration-into-commercial-urban-farms-9dabb3,
Visual Assistant System for Swimmers with visual impairments,https://www.hackster.io/parikshitsaha/visual-assistant-system-for-swimmers-with-visual-impairments-6d6031,REMAINED INCOMPLETE DUE TO NOT RECEIVING HARDWARE
Smart Prosthetic Leg for leg amputates,https://www.hackster.io/parikshitsaha/smart-prosthetic-leg-for-leg-amputates-30e88d,REMAINED INCOMPLETE DUE TO NOT RECEIVING HARDWARE
Low Cost Eye tracker based gaming system,https://www.hackster.io/parikshitsaha/low-cost-eye-tracker-based-gaming-system-cc0f36,REMAINED INCOMPLETE DUE TO NOT RECEIVING HARDWARE
Real-life FarmVille: Photogrammetry for Hydroponics,https://www.hackster.io/ivanchavs7/real-life-farmville-photogrammetry-for-hydroponics-ee3f8e,
Build Your Own Plants Moisture-Meter 🎉,https://www.hackster.io/Mwala/build-your-own-plants-moisture-meter-8777ad,
Guiding Waves:An Assistive Feedback Belt For Blind Swimmers,https://www.hackster.io/akshay6766/guiding-waves-an-assistive-feedback-belt-for-blind-swimmers-4eea5f,"By introducing the Assistive Guidance belt, my intend to revolutionize this scenario. This innovative belt combines the power of  sonar, gyroscopes, and other tracking sensors to offer dynamic, real-time navigational support. As the swimmer progresses, the belt processes data from these sensors, allowing the device to determine the optimal course and provide immediate feedback.  Through auditory cues transmitted via  haptic vibrations, the swimmer receives continuous orientation information from Haptic Vibration Sensor. This eliminates the requirement for a second person to guide them and promotes an independent swimming experience. The Assistive Guidance belt goes beyond mere collision avoidance; it empowers visually impaired individuals to swim confidently in a straight line while being aware of their surroundings at all times.This belt also comes with emergency features Like Airbag Deployment,Laser light to attract guards during emergency etc"
Insect Detection and Recognition System,https://www.hackster.io/cbitterfield/insect-detection-and-recognition-system-7f33f4,
ESP32-Controller-Board,https://www.hackster.io/hamzadenizyilmaz/esp32-controller-board-e5c887,Thanks again @PCBWay for sponsoring my project. PCBWay You can have your PCB boards produced for 10$. And it provides all kinds of printing and assembly services.
Fall Detection & Alert,https://www.hackster.io/dxcfl/fall-detection-alert-131971,"For people - especially for people already having mobility issues -  experiencing a fall unnoticed by others can have severe health consequences. Besides the obvious possibility of injuries as direct result of the impact, further health damage is often the consequence if medical aid and treatment cannot be obtained within a short time. The accident situation gets aggravated, if the person is no longer able to call for help due to immobility or unconsciousness."
Computer Vision Assisted Voice Based Image Captioning,https://www.hackster.io/kmabubeker/computer-vision-assisted-voice-based-image-captioning-f353f2,
Remote-controlled Bed for Individuals who are Bedridden,https://www.hackster.io/nsudemaduka/remote-controlled-bed-for-individuals-who-are-bedridden-16ffa4,
AquaEase: Effortless Smart Hydration for Armless Amputees.,https://www.hackster.io/jay1503asd/aquaease-effortless-smart-hydration-for-armless-amputees-e214b3,
ChessifAId,https://www.hackster.io/tanzania-open-innovation-organisation-toio/chessifaid-fa2c6e,"Imagine a world where chess is not just a game, but an inclusive experience that brings joy to everyone, regardless of their abilities. Introducing ChessifAId, an innovative project that uses voice and gesture interaction to make chess accessible and engaging for people with disabilities."
SwimSense,https://www.hackster.io/husseinshaukatali10/swimsense-ca7c70,"Imagine the freedom of swimming without limitations, where even the water's edge is conquered with certainty. Welcome to SwimSense, a pioneering initiative that blends cutting-edge computer vision and vibrating sensors to empower individuals with visual impairments to swim with confidence, ease, and safety."
TriEd,https://www.hackster.io/husseinshaukatali10/tried-38dc21,Project Name: TriEd GreenWheel - Empowering Inclusive Mobility
Self-Supervised Monocular Vision system for Robot Perception,https://www.hackster.io/509969/self-supervised-monocular-vision-system-for-robot-perception-28db7b,
We offer affordable educational toys .,https://www.hackster.io/thimithnavodya/we-offer-affordable-educational-toys-6128db,
Fall detection and Human vitals metrics Assist,https://www.hackster.io/agent-override-6/fall-detection-and-human-vitals-metrics-assist-1dbe64,
Fall detection and Human vitals metrics Assist,https://www.hackster.io/agent-override-6/fall-detection-and-human-vitals-metrics-assist-10ce90,"This project is for fall detection for elderly and patients in hospitals and at homes, also it displays human vital statistics from the heart and blood oxygen sensors on a dashboard. M5Stack is a suitable platform for this project due to small form factor and ease of interfacing sensors and connectivity to the cloud for storing and performing analytics on the data, also this allows for using and creating ML models."
B2G 1-- Swimming Theme - Making Waves with Water IoT,https://www.hackster.io/skruglewicz/b2g-1-swimming-theme-making-waves-with-water-iot-b1699e,Venturing into Uncharted Waters: Creating a Waterproof IoT Device for Lap Swimmers
EchoSight,https://www.hackster.io/rocorangelg/echosight-8c1984,
NBot,https://www.hackster.io/embeddedguy01/nbot-57615f,
SwimSense - Vision-free swimming with haptics,https://www.hackster.io/rahulkhanna/swimsense-vision-free-swimming-with-haptics-43126c,
Untitled,https://www.hackster.io/tylerfentie/untitled-25cf58,
Real World Driving Simulator For Any Game & Physical Vehicle,https://www.hackster.io/suyashsonkesaria/real-world-driving-simulator-for-any-game-physical-vehicle-9b8c52,"This is the driving simulator, we can play car racing came with it. This stick or throttle is for moving forward & reverse. And steering wheel is used to turn left & right."
Ink Display showing reminders and messages,https://www.hackster.io/carmodyk/ink-display-showing-reminders-and-messages-21b555,
General keypad,https://www.hackster.io/user07536352/general-keypad-282997,
Smart GSM-Equipped Walking Stick for the Blind,https://www.hackster.io/nsudemaduka/smart-gsm-equipped-walking-stick-for-the-blind-4357f5,"To help the blind navigate their environment safely without hitting obstacles, and be able to notify their caregivers in emergency situations, I developed this smart walking stick; an innovative device equipped with cutting-edge sensors and GSM technology. It uses the distance readings obtained with an HCSR04 ultrasonic sensor to detect obstacles on the way of the blind. Alarm and vibrator are activated when the blind person is in close proximity to an obstacle. If he accidentally hits an obstacle, the smart stick will start calling and texting his/her caregiver. The SMS sent has his Google map link of his location, which when clicked by the caregiver, brings out his location in Google map. The stick also has a panic button, which when pressed, causes the stick to start calling and texting the caregiver. "
Safedge AI camera,https://www.hackster.io/swaroopsss2008/safedge-ai-camera-b60207,
Mooshika,https://www.hackster.io/vimal1personal/mooshika-896035,
Pool Lane Boundaries / Buzzer,https://www.hackster.io/airlaflare/pool-lane-boundaries-buzzer-177603,
Guided Seas,https://www.hackster.io/pius4109/guided-seas-5e7459,
FireFicator,https://www.hackster.io/ja-rue/fireficator-04626a,"Is there anything better in the winter than a cozy fireplace in the house? If the fire is burning, it never gets cold!"
AquaVibes Band - Acquatic Vibration for Enhanced Safety,https://www.hackster.io/abdullahim1900464/aquavibes-band-acquatic-vibration-for-enhanced-safety-a1f087,Enhancing Safety and Independence for Visually Impaired Swimmers
Hand Spray With Person Sensor,https://www.hackster.io/guillengap/hand-spray-with-person-sensor-a400c1,
PathFinder: (An Intelligent Walking Stick with sensors),https://www.hackster.io/abdullahim1900464/pathfinder-an-intelligent-walking-stick-with-sensors-6bb628,
SCUTTLE Self-Balancing Robot,https://www.hackster.io/scuttle-robotics/scuttle-self-balancing-robot-6b1e46,
LOTP Two-Wheeled Self-Balancing Robot,https://www.hackster.io/reductalimenitis/lotp-two-wheeled-self-balancing-robot-2b6477,LOTP (stands for “Line On The Paper”) Two-Wheeled Self-Balancing Robot Project is an open source –DIY- project. It can maintain its own balance and can be controlled remotely via wireless connection.
Lotp Robot Dog V2,https://www.hackster.io/reductalimenitis/lotp-robot-dog-v2-73384f,"Animal-inspired drones and robots have now been observed accomplishing a wide variety of tasks, including surveillance, predictive maintenance in industrial settings, and as mobile payload transportation system for when a situation becomes too dangerous for a human. But unlike the current robots, I wanted to make a quadruped robot dog that was comprised entirely of replaceable modules rather than a monolithic system. This modular approach allows for the robot to be adapted in many more ways than a traditional one, and as new modules are introduced, the platform's capabilities can be greatly enhanced."
Weather Notifier With Blues,https://www.hackster.io/guillengap/weather-notifier-with-blues-f74b67,
Wall Early Warning System for Swimming Laps,https://www.hackster.io/3DPrinterDoctor/wall-early-warning-system-for-swimming-laps-4ba356,The Build2Gether competition really inspired me to try and build something which could assist someone who has a disability which prevents them from doing something they love.
Space Invaders Game Using Blues And Accelerometer,https://www.hackster.io/guillengap/space-invaders-game-using-blues-and-accelerometer-caadc1,
Drive by Smile,https://www.hackster.io/alistair/drive-by-smile-7395fa,
Handclap AC Switch Control,https://www.hackster.io/ahmedibrrahim/handclap-ac-switch-control-c3d5c9,"Makers always look at the simplest and shortest way to get things done. So, today we will learn how to control our home light switch in the simplest and quickest way."
Arduino Bluetooth-Controlled Motorized Camera Slider,https://www.hackster.io/ahmedibrrahim/arduino-bluetooth-controlled-motorized-camera-slider-b46308,
IoT Using Raspberry Pi and Firebase and Android,https://www.hackster.io/ahmedibrrahim/iot-using-raspberry-pi-and-firebase-and-android-dbe61d,
Intercom and smart controller mounted on wheelchair and roll,https://www.hackster.io/ecasti/intercom-and-smart-controller-mounted-on-wheelchair-and-roll-9a4691,
The SaveGuard Cane,https://www.hackster.io/khaileng0428/the-saveguard-cane-9024cd,
The HandyPager,https://www.hackster.io/pius4109/the-handypager-599458,"Pagers are electronic devices primarily employed by individuals who are unwell or have disabilities to get in touch with their caregivers. While pagers are not a recent innovation and have a long history, the focus of this project is to cater to individuals with mobility challenges, particularly those affected by muscle dystrophy."
A Laser Guided Swimming Lane Aid,https://www.hackster.io/511349/a-laser-guided-swimming-lane-aid-d21bf0,People with visual impairments can face difficulties staying within their designated lanes in a swimming pool for several reasons:
Cheering Watch of M5StickC&V,https://www.hackster.io/anoken2017/cheering-watch-of-m5stickc-v-34f0cc,
Vision Based Human-Robot Interaction with EdgeImpulse,https://www.hackster.io/dhruvsheth_/vision-based-human-robot-interaction-with-edgeimpulse-77cc80,
7DOF Robotic ARM Demo,https://www.hackster.io/vslcreations/7dof-robotic-arm-demo-e7b211,7DOF Robotic ARM Demo | EMG Technology | WiFi Control | Blynk IoT 
Empowering Disabled Gamers with Gesture-Controlls for Tetris,https://www.hackster.io/gustavsandersons/empowering-disabled-gamers-with-gesture-controlls-for-tetris-e3d5d6,
"Fumik: Open-source, wall drawing robot",https://www.hackster.io/whitebank/fumik-open-source-wall-drawing-robot-c0a767,"In August 2021, I got an idea to make a robot be able to draw pictures on a wall. After many days researching, designing, and programming, I finally finished a robot that could draw any pattern on a wall."
Gaming with Disabilities: Face Tracking Game Controller,https://www.hackster.io/PSoC_Rocks/gaming-with-disabilities-face-tracking-game-controller-8128d8,
Voice-Enabled Video Game Controller,https://www.hackster.io/rhammell/voice-enabled-video-game-controller-c76200,
Global Banknote Value Identifier,https://www.hackster.io/dipowin/global-banknote-value-identifier-8081d6,
SwimSight,https://www.hackster.io/JuanVi/swimsight-5d34b2,
Haptic Swim Assistant for Low Visibility Swimmers,https://www.hackster.io/thedonutsorelse/haptic-swim-assistant-for-low-visibility-swimmers-877de7,
SmoothRide: Auto Wheelchair with Speed Control (Prototipe 1),https://www.hackster.io/rifqiabdillah/smoothride-auto-wheelchair-with-speed-control-prototipe-1-a2d934,
SCABO - Low cost yet AR-enabled cardboard toy kits,https://www.hackster.io/PhuongGM/scabo-low-cost-yet-ar-enabled-cardboard-toy-kits-5f6294,
Mid-air display with haptic feedback,https://www.hackster.io/PhuongGM/mid-air-display-with-haptic-feedback-8f0093,
Self Driving Wheelchair for People with Mobility Impairment,https://www.hackster.io/kabilankb2003/self-driving-wheelchair-for-people-with-mobility-impairment-7a87af,What is your project about?
Indoor IoT Infection Risk Monitor with Blues and Qubitro,https://www.hackster.io/prasannaa-kumar/indoor-iot-infection-risk-monitor-with-blues-and-qubitro-10a33b,
