Text,URL,First_P_Tag_Content
Swimmer Assistive System,https://www.hackster.io/teamprof/swimmer-assistive-system-e34075,"IntroductionSwimming can be challenging for people with visual impairments. They may have difficulty orienting themselves in the water and staying in their lane, without veer off course toward the lane line. They may also have difficulty knowing when they have reached the end of the pool.We propose a Swimmer Assistive System that consists of computer vision equipment and a Bluetooth-enabled bone conduction earphone.The computer vision equipment includes a Coral Micro Board and an ESP32 Dev Kit: the Coral Micro Board identifies the swimmer’s location, while the ESP32 Dev Kit that broadcasts audible feedback via Bluetooth.The swimmer wears a bone conduction earphone, that is enabled with Bluetooth, to hear their location that is inferred by the computer vision equipment."
AI-driven BLE Travel Emergency Assistant w/ Twilio,https://www.hackster.io/kutluhan-aktar/ai-driven-ble-travel-emergency-assistant-w-twilio-a948b0,"Heartbreakingly and unfortunately, people with disabilities are more likely to be victims of violence, theft, verbal abuse, and neglect while traveling, especially travelers with mobility impairments. In overall crime estimations, people with disabilities have a higher risk, at least four to ten times, of being a victim[1]. Considering the discouragement of these heinous crimes hurting vacation plans of people with mobility impairments, it has become necessary to provide them with state-of-the-art assistive devices so as to preclude offenders from committing crimes against people with disabilities."
IoT based Smart Walking Stick for Elderly/Disabled Peoples,https://www.hackster.io/maheshyadav216/iot-based-smart-walking-stick-for-elderly-disabled-peoples-588272,
Person Detection for People with Disability,https://www.hackster.io/dadanugm07/person-detection-for-people-with-disability-73cefc,"This project contains hardware design for person detection device to help people with low vision or disability. indicator result of detection will be delivered through A2DP Bluetooth transmitter to wireless Headset/Speaker. To be able to perform person sensor detection, main controller/microcontroller will be needed. In this project, an ESP32 board will be used."
Gesture Tetris,https://www.hackster.io/misaz/gesture-tetris-f1e578,"Gesture Tetris is novel implementation of classic Tetris game. Instead of keyboard it is controlled directly by user hand swiping in the air in front of the infrared gesture sensor. Project feature MAX32620 microcontroller and MAX25405 Gesture Sensor which together creates perfect base for gesture detection projects and also offers very easy device build and assembly. This bundle is available as commercially available evaluation kit from Analog Devices and this project is rather smart utilization of this kit instead of complex breadboard or other DIY circuit. It is very easy to build the kit and run the game. The software side of the game is implemented as an online game which uses modern JavaScript API for communicating with the physical device and do not require any software installed on computer. Naturally work on Windows, Linux and Mac."
virtual joystick with face movement,https://www.hackster.io/min-ma/virtual-joystick-with-face-movement-e21637,
A LED Gaming Platform For People With Special Needs.,https://www.hackster.io/AlainsProjects/a-led-gaming-platform-for-people-with-special-needs-c4634b,"Scott, our son is now 17 years old. He is a non-verbal autistic. It has become very difficult to keep him occupied and happy. He likes flashing lights and different sounds, but all the toys in his hands don't last two minutes with him."
Chess Vision-Inclusive,https://www.hackster.io/smprof/chess-vision-inclusive-264401,"The project aims to bridge the gap between digital chess platforms and tactile, inclusive gameplay for individuals with visual disabilities. Leveraging computer vision technology, our system will interface with popular chess platforms like chess.com, capturing moves from the screen (whether on a desktop or mobile device) and translating them to a physical, tactile chess set. This innovation goes beyond existing solutions by enabling real-time, interactive play on a physical board, creating a seamless and inclusive gaming experience. Our project aligns with the growing interest in accessibility within the chess community, as seen in chess.com's recent initiatives. Additionally, our technology has the potential for broader applications, enhancing the gaming experience for all and promoting inclusivity in digital entertainment. Through integration with platforms like Feelif Chess, we aspire to create a universal solution that empowers individuals with visual impairments to enjoy chess across various digital environments.What we completed:"
"AI machine, that help people with visual Impairments swim",https://www.hackster.io/gustavsandersons/ai-machine-that-help-people-with-visual-impairments-swim-df54b6,
Underwater Sound Beacons for Visually Impaired Swimmers,https://www.hackster.io/rhammell/underwater-sound-beacons-for-visually-impaired-swimmers-b1aa85,
The Eye Guided Game Controller,https://www.hackster.io/chamal82/the-eye-guided-game-controller-2fccaa,
Interactive Display for Finding Wheelchair-Accessible Places,https://www.hackster.io/rhammell/interactive-display-for-finding-wheelchair-accessible-places-6020f1,
Exploring digital content with eye control,https://www.hackster.io/stefan50/exploring-digital-content-with-eye-control-734d5e,"The Swiss Paraplegic Center is developing a platform that gives tetraplegics and people with limited hand functions barrier-free access to the digital world. Those affected can interact in the ParaVerse platform using XR glasses using only eye control. They can use it to surf the web, watch YouTube videos and contact their loved ones via messenger app. All this without using their hands or voice, which is particularly beneficial for newly injured people. The caregiver only needs to assist in putting on the glasses. In addition to increased independence, this will give those affected a large portion of privacy back."
Travel Comfort Tracker for People with Disabilities,https://www.hackster.io/PSoC_Rocks/travel-comfort-tracker-for-people-with-disabilities-b45524,
"Careful please I am here, I am moving, respect",https://www.hackster.io/davide-cogliati/careful-please-i-am-here-i-am-moving-respect-658e23,"I was walking by the road, some traffic of cars and many people walking. Lonely a wheelchair was moving slowly trying to avoid all obstacles. It was really hardly to see it because the average height was 1, 50 meter or so. Why not to use something flashing in a special way to show the presence of the wheelchair and the disable boy riding it. Something really simple and easy to build but effective. I think working objects should not be complicated but easy to use and to understand. To present this idea at the ""build2together"" challenge I thought to something very easy and cheap to find, but it is what you need, not costly hardware but most simple."
AquaSight: Empowering Visually Impaired Swimmers,https://www.hackster.io/timothy_malche/aquasight-empowering-visually-impaired-swimmers-5bb781,
Computer control using Morse code.,https://www.hackster.io/MaxPowerr/computer-control-using-morse-code-39dd20,
YES Wheelchair,https://www.hackster.io/Chakapat_Chokchaisiri/yes-wheelchair-1b48aa,
Smart Traffic Lights,https://www.hackster.io/wesee/smart-traffic-lights-0d3bf9,
Haptic Vision Assist,https://www.hackster.io/colonelpanic/haptic-vision-assist-ac670f,"This is my first  submission to Hackster.io. My project does not fit perfectly into the swimming solution challenge, it is more of a general mobility tool for individuals who have visual impairments.  My fiance and her son have a genetic eye condition called Retinitis Pigmentosa. Living with a visually impaired partner has allowed me to witness the challenges that people with vision disabilities face on a daily basis. I have worked with her closely to develop a tool that can assist her and others with visual impairments in navigating environments where obstacle avoidance is necessary. This project began before I learned about the Build2Gether challenge. Over the course of a year I have learned to use M5stack and UIflow. To learn the platform, I challenged myself  to rapidly prototype an idea a day. During this time I began developing the basic framework for this project with input from my partner. My hope is that this will stand as an example of what can be achieved through a willingness to learn, diligence, and care. M5stack provides a powerful platform for rapidly prototyping and testing these kinds of devices. This project would not have been possible without the ingenuity of M5stack's products, code logic advice from Jilles Groenendijk, and the priceless input from my wonderful partner Amanda. Getting to speak with Marc Chiang was an absolute treat. He and my partner have the same eye condition. Mr. Chiang shared resources with her as well as providing input and perspective for this project. This is a labor of love. No neural networks,  apart from human, were used to generate this code or design."
Electrooculography (EOG) based human-computer interface,https://www.hackster.io/brainsmiths/electrooculography-eog-based-human-computer-interface-3e60c4,
Myo-Assist Knee Brace,https://www.hackster.io/s4muela/myo-assist-knee-brace-124919,
Wheelchair assist for people with mobility impairments,https://www.hackster.io/gustavsandersons/wheelchair-assist-for-people-with-mobility-impairments-6ed584,
Ultrasonic Ranging and Obstacle Avoidance for Swimming,https://www.hackster.io/michael-ma3/ultrasonic-ranging-and-obstacle-avoidance-for-swimming-689a05,
Traveling Guide with GPS and Cloud,https://www.hackster.io/michael-ma3/traveling-guide-with-gps-and-cloud-5c2b58,
Control Home Appliances Using Alexa,https://www.hackster.io/eslam-fayad/control-home-appliances-using-alexa-594ddf,In this project we are going to build a smart home system to control home appliances
B2G 2 -- TRAVELLING for people with mobility impairments,https://www.hackster.io/skruglewicz/b2g-2-travelling-for-people-with-mobility-impairments-a8baf1,
OHMni-Stick,https://www.hackster.io/oneohm/ohmni-stick-feec50,"The OHMni-Stick is fully documented on Hackaday.io, but here are some highlights:"
Robot Arms for Accessibility,https://www.hackster.io/thedonutsorelse/robot-arms-for-accessibility-ac2f04,
Audio visual fence for visually impaired,https://www.hackster.io/dhq/audio-visual-fence-for-visually-impaired-8295e8,Introduction
vPlug: Empowering People with Mobility Impairments,https://www.hackster.io/timothy_malche/vplug-empowering-people-with-mobility-impairments-f1ccfe,
RollRight: AI-Driven Doorway,https://www.hackster.io/ksm/rollright-ai-driven-doorway-20f9bc,
Cheza Pona,https://www.hackster.io/512307/cheza-pona-2d0c47,
Play and study with M5Stack Core 2!,https://www.hackster.io/RucksikaaR/play-and-study-with-m5stack-core-2-f86b35,Attention-deficit/ hyperactivity disorder (ADHD) is a neurodevelopmental condition that can make it difficult for people to focus and this the most common neurodevelopmental condition in children.
Detect face for playing game with no hands,https://www.hackster.io/nguyenhuuvinhhanoi/detect-face-for-playing-game-with-no-hands-309703,"Last summer, I had a memorable time working with Arduino in a camp for disabled people with my school program. In that camp, I saw that unlucky children can not play games without using their hands, they lost their hands in an accident. I'm extremely hurt. They are 18 years old, the same age as me but they study really hard and face bad problems that no one can't imagine. I think that there are some way for they can playing with no-hand. So I started this project 2 months and want to create some way to play game without using hand. I saw that in ""pyautogui"" and some library in python can help me to that. ""Pyautogui"" can help me control keyboard and screen with coding. The second problem is how to run that code to control keyboard. I think the best way is basing on face of users. In youtube, there are some way to control mouse with the movement of face. With that, I think we can use our face to play game, control the game without using hand. In the future, I sure that I will create more about detecting to play advance game and I want a world where people lost their hands can playing game. Thanks you"
Tell me my time,https://www.hackster.io/alistair/tell-me-my-time-c386b3,
Hold my stick,https://www.hackster.io/alistair/hold-my-stick-a991d4,
Vision2Audio - Giving the blind an understanding through AI,https://www.hackster.io/shahizat/vision2audio-giving-the-blind-an-understanding-through-ai-33f929,"People who are visually impaired or blind encounter numerous challenges in their daily lives, such as difficulty perceiving objects and their surroundings along their routes. Individuals with visual impairments may face limitations in activities such as swimming, playing computer games, walkings and many other recreational activities. To put simply, there remains a gap in this field with respect to enhancing the quality of life for individuals with blindness and vision impairment."
Kickboard for Visually Impaired Swimmers (WIP),https://www.hackster.io/CeruleanMars/kickboard-for-visually-impaired-swimmers-wip-37fc69,
Cracked road detection for better travel,https://www.hackster.io/hendra/cracked-road-detection-for-better-travel-e00340,"One of the challenge faced by wheelchair user is cracked road, where sometimes if the user is losing focus they could bump into a cracked road or a pothole that could cause injury."
Smart Cabana at Swimming pool,https://www.hackster.io/512374/smart-cabana-at-swimming-pool-0d2a7d,
Swimmer Orientation with haptic feedback using ML,https://www.hackster.io/newexcuse/swimmer-orientation-with-haptic-feedback-using-ml-24dfd7,"The device was created as a means to provide other, nonvisual means, for swimmers to orient themselves when lap swimming without outside support as current means were incredibly limited. This system was intended to use the direct image of the pool bottom, in coordination with a gyroscope for accuracy, to identify the lane lines and use them to provide a haptic signal via vibrational motors on each side of the device. This would allow for a swimmer with vision impairments to swim independently and in full control of their orientation device. Slots are present to add straps so the device may be worn as a chest piece similar to a heart rate monitor. "
NeuroPlay,https://www.hackster.io/adityatd112/neuroplay-dbbf2a,"Inspired from this idea and its utilization in commodities like gaming, I built this proof-of-concept prototype into an early startup and this past month went to several incubators and VCs. It was recently selected by State's Department of Industries to be showcased in front of state dignitaries, and the innovation was covered by national news outlets and also selected by AWS/Campus Fund for a seed grant for making this into an MVP for commercial use (even had a veteran evaluation by them on 30 Nov in the afternoon). I also have relevant pitch decks and reports in this Drive Folder: https://drive.google.com/drive/folders/1tqgCHub_3V-1H43Wiq1N0b5FoTFKDYR0?usp=sharing"
BrailleBot,https://www.hackster.io/Mukesh_Sankhla/braillebot-063dfe,
SOS : Device for People with disability to Call for Support,https://www.hackster.io/MohamedAliBedair/sos-device-for-people-with-disability-to-call-for-support-6031d7,"Nowadays a lot of cities are consider barrier-free, this give people with mobility impairments the ability to travel by themselves without being dependent on someone else."
PortaPillole - a SMART medicine container,https://www.hackster.io/pasquale887/portapillole-a-smart-medicine-container-86b01b,
AquaGuide,https://www.hackster.io/danielkizit0/aquaguide-5c1b48,"Swimming has been a sport that has been undertaken by many individuals of all ages. Moreover, it is an easily adaptive sport for athletes who are blind or partially sighted. This has been proven so ever since the inception of para-swimming at the first Paralympic Games in Rome in 1960. But the advent of para-swimming never came without its fair share of challenges; with the two main challenges being improper lane navigation and poor flip-turn timing."
Navigation Assistance for Visually Impared,https://www.hackster.io/3DPrinterDoctor/navigation-assistance-for-visually-impared-e23d6c,
Digital Travel Lanyard,https://www.hackster.io/Meadeor/digital-travel-lanyard-86cc82,
An Easily Findable Accessible Toilet using LoRa,https://www.hackster.io/taifur/an-easily-findable-accessible-toilet-using-lora-806a0d,
Aquasense,https://www.hackster.io/senapatimohit/aquasense-f9a7d5,Introduction
Jeeva - AI Based Smart Assist for Elderly,https://www.hackster.io/vishwasnavada/jeeva-ai-based-smart-assist-for-elderly-a4f2ec,"It would be easy for a healthy human being to get around places and do some aerobic exercises without any external aid, but the life is completely different when you have a disability even the involuntary tasks such as breathing walking might become a nightmare. In order to help this kind of people, we developed a smart cane which has quite a lot of sensors and can do quite a bit of AI processing onboard. We use Avnet brainium module to detect obstacles and gestures so that it can help an end-user like a blind or physically challenged individual.     In current economic conditions, the earning for the home has to be done by both male and female individual in order to pay out the bills at the end of the month. This is a common practice in an urban area where basic living costs are exorbitant.       As a result of this practice, elderly people are left back in the home when young ones go out for earning. Older people as they age they will need support for even walking like a cane or wheelchair. The use of a stick as a support for walking is there from stone ages."
Meta Adventure,https://www.hackster.io/anaborrell00/meta-adventure-a38bf7,"Meta Adventure is a groundbreaking virtual reality game that redefines exploration by integrating Google Earth's vast repository of global landscapes. Imagine sitting in the comfort of your home, yet being able to traverse the Grand Canyon, roam the streets of Tokyo, or explore the Pyramids of Giza—all while seated in a wheelchair."
Generative AI - Virtual Agent with M5Stack,https://www.hackster.io/johnnietien/generative-ai-virtual-agent-with-m5stack-4c133a,
Navigation beacon,https://www.hackster.io/juan-biomechanics/navigation-beacon-3ae8d3,"""What were the needs or pain points that you attended to and identified when you were solving problems faced by the Contest Masters?"""
Swim Pal Visual Guide,https://www.hackster.io/vlasov01/swim-pal-visual-guide-7be116,"The solution monitors position of the swimmer, calculates distance to the end of the swim line and communicate it to the swimmer when to turn. It will allow swimmer to enjoy the swim without being concern about his/her location and obstacles."
Macro Mouse,https://www.hackster.io/the-confused-genius/macro-mouse-8f6bbb,
Swim safe and flashy,https://www.hackster.io/rachael2/swim-safe-and-flashy-049030,"The design consists of a wearable-detachable waterproof red light and a protection cushion. The red light gives other swimmers in the pool a signal that a blind swimmer is approaching. When seeing the light, other swimmers automatically clear the line and give extra space for the blind swimmer. Additionally, since the blind swimmers cannot predict where the edge of the swimming pool is, or where the other people are, they are very likely hitting the wall or bumping into other people. To protect the blind swimmers, a floating cushion is designed to buffer the hit. At the same time, it serves as a secondary notice for other swimmers to keep their distance. In the worst-case scenario, other swimmers will not hurt the blind swimmers, but the impact is safely absorbed by the cushion."
Travel safe and sound,https://www.hackster.io/rachael2/travel-safe-and-sound-f7ff28,"It is very hard for people in wheelchairs to travel alone, as they constantly require help and care from others. However, by simply installing an alarm on the wheelchair, disabled individuals are able to travel on their own. Whenever something is needed, they can simply press the button, and a pre-recorded message will be announced. People within 10 meters of distance can clearly hear the message and rapidly come to help. As a simple example, the disabled personnel can record “excuse me, could you help me” in the device (so that you can travel ‘safe’ but also with ‘sound’, hence the title ‘travel safe and sound’). After pressing the button and getting a willing volunteer to help, the disabled personnel can communicate his needs in better detail. In this way, finally, people with disability can travel alone without the need of intense help and care."
Reversible peaceful mode button,https://www.hackster.io/rachael2/reversible-peaceful-mode-button-f8b8f9,"One of the most popular games in human history is Minecraft. Each year, gamers spend hundreds of hours on that game, building their dream house and enjoying the freedom of exploration in the game. However, there is a very annoying mob in the game called “creeper”. Once a creeper locates the player, it will explode and harm the player. The only way for the player to avoid damage is by quickly running away. Yet, when the player’s mobility is restricted, it becomes very challenging to avoid such a situation. Is it fair to punish our disabled gamers with such asituation, not because they are not good at the game but because they simply cannot respond so fast? The answer is NO. Therefore, in this design, we propose a solution to such a situation, by giving our disabled gamer a button to change to “peaceful mode” instantaneously. Simultaneously the life-threatening creeper will disappear with that simple hit. The button is connected to the keyboard, and it is big enough so hitting it during an emergency is very simple. This button even provides a reversible feature, meaning that hitting the button again turns off the “peaceful mode” and our gamer can enjoy the game again. This is THE key to make Minecraft accessible and inclusive to ALL."
hand gesture based game,https://www.hackster.io/jathavan19/hand-gesture-based-game-cd736e,
Voice Controller in Game,https://www.hackster.io/min-ma/voice-controller-in-game-e30d15,
Morse Code Encoder,https://www.hackster.io/RucksikaaR/morse-code-encoder-3f5c37,"Morse code is a character encoding scheme used in telecommunication, and is named after Samuel F. B. Morse, an inventor of the telegraph. You would have probably seen movies where spies or secret agents transmit secret messages in form of Morse code. Actually, according to Crypto Museum, Morse code was heavily used for secret transmissions during WWI and WWII. Now it's time for you to try making a Morse code encode on your own."
Getting Started with blues hardware kit using Arduino IDE,https://www.hackster.io/user102774/getting-started-with-blues-hardware-kit-using-arduino-ide-bec0a6,"I hope everyone has access to the provided hardware in the above list. Here we explains how to use the hardware kit, provides a kick-start guide, and outlines the process of interfacing with the hardware."
Advanced 'Tapper',https://www.hackster.io/RucksikaaR/advanced-tapper-3d9439,"Swimming is one of the most popular sports and also a natural stress reliever which can have a therapeutic effect on the body and mind, while also promoting relaxation.  Swimming is for everyone and no one should be deprived of this stress buster."
Move-It!,https://www.hackster.io/nvraghavendra2000/move-it-2371ed,This is my submission to the Build2Gether innovation challenge and also my first submission to Hackster!
NeuroLimb,https://www.hackster.io/adityatd112/neurolimb-579d88,"""What were the needs or pain points that you attended to and identified when you were solving problems faced by the Contest Masters?"""
Fall/Accident Detection and Alert System,https://www.hackster.io/the-confused-genius/fall-accident-detection-and-alert-system-686f82,
Swimming pool with luminescent indicators,https://www.hackster.io/charlie-steinen/swimming-pool-with-luminescent-indicators-173bf8,"I think the current swimming pool design is not very friendly for people with limited vision. The lines at the bottom is totally black. As far as I know, it’s very hard to see black colored lines at the bottom, especially during the night. But if these lines are shiny, it helps to guide the swimmers. People can even choose the colour they want, having different patterns. I wasn’t able to implement it, but I made a prototype with clay (because it’s environmentally friendly, why waste resources for just an idea right?)"
Wheelchair with recycled concrete,https://www.hackster.io/charlie-steinen/wheelchair-with-recycled-concrete-c3b5cb,"I think the current wheelchair design is not the best for people with reduced mobility, because they are not environmentally friendly (often made with materials that harm our planet!!). At the same time, we also talk a lot about global carbon emission. When combining the two, we create a recycled concrete based wheelchair. These wheelchairs protect the people with disability, and can be used for self-defense when needed."
Apple vision but better,https://www.hackster.io/charlie-steinen/apple-vision-but-better-01fe8a,"Recently, Apple released their VR headset and it’s really cool! However, nobody thought it could be used by disabled individuals! How about that? I think that because they cannot move too much, the VR headset with eye-tracking is really cool. I wasn’t able to implement, but I made a prototype with clay (because it’s environmentally friendly, why waste resources for just an idea right?)"
Motion controller for people with limited arm function,https://www.hackster.io/yahya-khalid/motion-controller-for-people-with-limited-arm-function-4e15d3,Introduction:
TouchTrack Tactile Mouse,https://www.hackster.io/timo614/touchtrack-tactile-mouse-4114ca,
Luminous Lane Line,https://www.hackster.io/timo614/luminous-lane-line-9c00c9,
Panic Button,https://www.hackster.io/Liliana/panic-button-55ec8e,
Portable text reader with speech synthesizer,https://www.hackster.io/Liliana/portable-text-reader-with-speech-synthesizer-ee6fc0,
Gaze Driven Mouse Movement,https://www.hackster.io/thedonutsorelse/gaze-driven-mouse-movement-3409c7,
Medicine Guard,https://www.hackster.io/MarekTS/medicine-guard-3a2854,
Smart wheelchair,https://www.hackster.io/MarekTS/smart-wheelchair-56e4b9,
Smart assistant for swimmers,https://www.hackster.io/DreamLab/smart-assistant-for-swimmers-f94700,
Personal Pulse Meter,https://www.hackster.io/DreamLab/personal-pulse-meter-9259c4,
